,Zip Code,MHINC,Pop2010,TotalCases
0,21201,48044.11111111111,94655,447
1,21202,53117.98888888889,92987,813
2,21205,38678.15714285714,67771,668
3,21206,53439.02857142857,100449,1969
4,21207,47495.61666666667,56773,1729
5,21208,49056.35,27948,1384
6,21209,64002.13333333334,68067,746
7,21210,82454.58,63788,110
8,21211,56940.450000000004,79128,269
9,21212,73300.95999999999,58589,806
10,21213,38321.399999999994,112681,1089
11,21214,59342.81999999999,76173,593
12,21215,47794.718181818185,127102,2207
13,21216,39209.887500000004,92027,893
14,21217,37689.8625,109179,879
15,21218,52487.73636363636,150527,1244
16,21222,36666.3,6260,1990
17,21223,38385.09,110439,762
18,21224,71251.37142857142,62110,2563
19,21225,32534.4,22445,1032
20,21226,39936.5,14243,162
21,21227,47486.950000000004,29453,1136
22,21228,58055.3,12264,1596
23,21229,46606.51111111111,91758,1593
24,21230,53844.21000000001,83448,1242
25,21231,69093.02857142857,67752,498
26,21234,54366.9,32150,2022
27,21236,56655.8,16839,1042
28,21237,49335.45,32688,1184
29,21239,52662.3,67230,1044
30,21251,62866.9,28916,0
31,21287,19374.1,10021,0
